iter	Logloss
0	0.6879822119
1	0.6843544135
2	0.6805936832
3	0.6766011313
4	0.6721102697
5	0.6681927242
6	0.6642263263
7	0.660326252
8	0.6563030469
9	0.652891108
10	0.6488276373
11	0.6455456516
12	0.6419443851
13	0.6374938843
14	0.634019385
15	0.6304776154
16	0.6267530692
17	0.6238199238
18	0.620493829
19	0.6170668504
20	0.6133935801
21	0.6105466814
22	0.6070055028
23	0.6036988374
24	0.6005905735
25	0.5978028876
26	0.594868651
27	0.592032089
28	0.5885543278
29	0.584873922
30	0.5814562358
31	0.5783157826
32	0.575488039
33	0.5737959986
34	0.5713558157
35	0.5687880253
36	0.5660067933
37	0.5642053368
38	0.5618904777
39	0.5596533575
40	0.5576327532
41	0.5553185363
42	0.5531256919
43	0.5501079836
44	0.5479929949
45	0.5456177479
46	0.5438785572
47	0.5419967168
48	0.5394665038
49	0.537605791
50	0.5352902436
51	0.5332041234
52	0.5306692006
53	0.5284961462
54	0.5266645895
55	0.5245416024
56	0.5225712968
57	0.5206087393
58	0.518278807
59	0.5160536649
60	0.5146418457
61	0.5133433983
62	0.5120091178
63	0.51059306
64	0.5082238683
65	0.5062303219
66	0.5046140427
67	0.5026773782
68	0.5014877589
69	0.5001072423
70	0.4986150485
71	0.4968046858
72	0.4953632397
73	0.4938497797
74	0.4922801065
75	0.4908260673
76	0.4892362953
77	0.4876097707
78	0.4862049727
79	0.4850063036
80	0.4839806104
81	0.4823197496
82	0.4806849715
83	0.4791040332
84	0.4776899266
85	0.4760504674
86	0.4750202465
87	0.4736073779
88	0.4721144657
89	0.4709313615
90	0.4693650709
91	0.4679810166
92	0.4665088659
93	0.4650661728
94	0.4638027231
95	0.4625579902
96	0.4611601132
97	0.460190784
98	0.4589757628
99	0.4579516851
100	0.4568375895
101	0.4560032571
102	0.4550106031
103	0.4538100062
104	0.45252456
105	0.4516290093
106	0.4505691669
107	0.4493491264
108	0.4484229471
109	0.4475236867
110	0.4462811288
111	0.4455497923
112	0.4447490146
113	0.4436312458
114	0.4426529189
115	0.4419531646
116	0.4408642198
117	0.4400705249
118	0.4392703189
119	0.4382235498
120	0.4373213983
121	0.4364589855
122	0.4358041611
123	0.4346576017
124	0.4334821408
125	0.4328019394
126	0.4319467891
127	0.4313707042
128	0.4305355384
129	0.429846167
130	0.4292289669
131	0.428069524
132	0.4270545613
133	0.4260827447
134	0.4253426617
135	0.4245100745
136	0.4237594811
137	0.4228898299
138	0.4221719596
139	0.4214327639
140	0.4206441292
141	0.4194386814
142	0.4190299556
143	0.4183890262
144	0.4178356145
145	0.416910691
146	0.4165857262
147	0.4157928386
148	0.4151701766
149	0.4140646521
150	0.4134992748
151	0.4129717077
152	0.4118547701
153	0.4111607567
154	0.4104779671
155	0.409892975
156	0.4089690592
157	0.4087054244
158	0.4077668392
159	0.4072637702
160	0.4067147669
161	0.4060384839
162	0.4055287641
163	0.4047306228
164	0.4037789333
165	0.403183372
166	0.4026181154
167	0.4019248722
168	0.4011902208
169	0.4004674935
170	0.3998937179
171	0.3990493774
172	0.3984272672
173	0.3978254913
174	0.396960825
175	0.3965716161
176	0.3958000055
177	0.3950526366
178	0.3943011708
179	0.3936509912
180	0.3931303709
181	0.392280873
182	0.3916909719
183	0.391117738
184	0.390237678
185	0.3896317792
186	0.3889018393
187	0.3884345276
188	0.3880161512
189	0.3873353754
190	0.3865013329
191	0.3858419512
192	0.3851892096
193	0.384659807
194	0.384073668
195	0.3837045847
196	0.3832084897
197	0.3827920876
198	0.3823105308
199	0.3818349562
200	0.3815497164
201	0.3809861177
202	0.3805201248
203	0.380055366
204	0.3796175646
205	0.3791169606
206	0.3783718187
207	0.3780500834
208	0.377389328
209	0.3766735747
210	0.3762008588
211	0.3754610691
212	0.3750610555
213	0.3744270987
214	0.3738456127
215	0.3730705047
216	0.3725166932
217	0.3718861912
218	0.3714487112
219	0.3709871197
220	0.3707378049
221	0.3704157965
222	0.369981071
223	0.3695598372
224	0.3689447118
225	0.3685225339
226	0.3680421012
227	0.3676041723
228	0.3671905902
229	0.3668212229
230	0.3663691554
231	0.3659466628
232	0.3655392841
233	0.3651725876
234	0.3647837127
235	0.3641776157
236	0.3638442335
237	0.3635195204
238	0.3631796123
239	0.3626676085
240	0.3622121095
241	0.3619048331
242	0.3615062522
243	0.3612841061
244	0.3609072519
245	0.360407761
246	0.3599519749
247	0.3595811475
248	0.3591317219
249	0.3588478851
250	0.3583542945
251	0.3581791327
252	0.3578162982
253	0.3575379136
254	0.3572027459
255	0.3567981536
256	0.3562229183
257	0.3558689015
258	0.3551773656
259	0.3548639658
260	0.3544581443
261	0.354061296
262	0.3538127637
263	0.3532543027
264	0.3528295607
265	0.3524754957
266	0.3521388698
267	0.3518050848
268	0.3513371126
269	0.3509465251
270	0.3506477228
271	0.3502686486
272	0.3499995799
273	0.3494654175
274	0.3490672107
275	0.3487140472
276	0.3483147933
277	0.3479376058
278	0.3476559256
279	0.3475055796
280	0.3470299118
281	0.3465973716
282	0.3457104337
283	0.3453698559
284	0.3449194124
285	0.3445781157
286	0.3442548946
287	0.343673194
288	0.3431970919
289	0.343038534
290	0.3426124773
291	0.3423901136
292	0.3418501992
293	0.3413628779
294	0.3410155016
295	0.3406270004
296	0.3403616449
297	0.3400304971
298	0.3397937703
299	0.3395162073
300	0.3391134602
301	0.338759005
302	0.3383584547
303	0.3379813767
304	0.3375277068
305	0.3372477337
306	0.3369210146
307	0.336776226
308	0.3363929059
309	0.3361403763
310	0.3358015549
311	0.3354371315
312	0.3351281471
313	0.3349342324
314	0.3345680551
315	0.3341834945
316	0.333984809
317	0.3334630811
318	0.3333090443
319	0.3331853147
320	0.3329143699
321	0.3325654887
322	0.3323910955
323	0.3321007949
324	0.3318428893
325	0.3313363784
326	0.3311141044
327	0.3306945756
328	0.3303195261
329	0.3299492283
330	0.3296295126
331	0.3292299454
332	0.3288012196
333	0.328423016
334	0.3281355706
335	0.3278105332
336	0.3275765806
337	0.3272360768
338	0.3271448249
339	0.3270027054
340	0.3264514637
341	0.3261568185
342	0.3259076179
343	0.32578164
344	0.3253371867
345	0.3249545984
346	0.3247154589
347	0.3242783796
348	0.3240592834
349	0.323612454
350	0.3233138785
351	0.3230584191
352	0.3227588629
353	0.3226483905
354	0.3224707925
355	0.3222481281
356	0.3220751215
357	0.3217742749
358	0.3215695979
359	0.3213854829
360	0.3210039933
361	0.320637729
362	0.3203843808
363	0.3199614564
364	0.3195999999
365	0.3192365625
366	0.3189432908
367	0.318759617
368	0.3183334145
369	0.3181074889
370	0.3179868009
371	0.3177287302
372	0.3174213191
373	0.317310507
374	0.3169929917
375	0.316776999
376	0.3164585798
377	0.3162964132
378	0.3157005108
379	0.3154506724
380	0.3150930371
381	0.3147706322
382	0.3143754931
383	0.3139818528
384	0.3136701745
385	0.3134343361
386	0.3133741054
387	0.3130709264
388	0.3128359803
389	0.3124278659
390	0.3121571463
391	0.3118726609
392	0.3117432822
393	0.3113092749
394	0.3111498214
395	0.3108883901
396	0.3106934749
397	0.3104543965
398	0.3100202771
399	0.3097922206
400	0.3093006127
401	0.309008223
402	0.3086350436
403	0.3085524961
404	0.3082926437
405	0.3079534382
406	0.3077614553
407	0.3076203885
408	0.3073704876
409	0.3072051261
410	0.3069296419
411	0.3067304774
412	0.3064666764
413	0.3062177299
414	0.3059366058
415	0.3057826389
416	0.3053670071
417	0.3052102297
418	0.3048241046
419	0.3043941331
420	0.3042905676
421	0.3042105923
422	0.3039127098
423	0.3036821749
424	0.3032348212
425	0.3030738663
426	0.3027755991
427	0.302550773
428	0.3022919759
429	0.3020336374
430	0.3018310908
431	0.3016490222
432	0.3014655385
433	0.3011401624
434	0.3008429768
435	0.3005948387
436	0.300324575
437	0.2998332196
438	0.2995628439
439	0.2993476435
440	0.2992118245
441	0.2989786103
442	0.2987331793
443	0.2983521156
444	0.2981144216
445	0.29794085
446	0.2976007375
447	0.2974376174
448	0.2971481783
449	0.297053213
450	0.2968756029
451	0.2966521132
452	0.2963392453
453	0.2962525948
454	0.2959382844
455	0.2957414025
456	0.2954628001
457	0.2951344443
458	0.2949065035
459	0.2948311961
460	0.2946605754
461	0.2944450105
462	0.2942191999
463	0.2940628686
464	0.2936861824
465	0.293456429
466	0.293125989
467	0.2927964296
468	0.2926017521
469	0.2923853653
470	0.2921834457
471	0.2919781669
472	0.2917113443
473	0.2912696465
474	0.2910249248
475	0.2907673389
476	0.290423655
477	0.2902550593
478	0.2899176755
479	0.2897174855
480	0.2896110063
481	0.289298023
482	0.2889869502
483	0.2887235806
484	0.2885040476
485	0.2881885625
486	0.2880321164
487	0.2877498175
488	0.2874975351
489	0.2870005313
490	0.2867773056
491	0.2866602305
492	0.2864573113
493	0.2862369146
494	0.2860048203
495	0.285884651
496	0.285670556
497	0.2853657107
498	0.2851930089
499	0.284888348
500	0.2847667568
501	0.2846362264
502	0.2843092638
503	0.2841272541
504	0.2839508028
505	0.2838790664
506	0.2835382212
507	0.2832335525
508	0.2830058262
509	0.2828549008
510	0.2826536019
511	0.2821347995
512	0.2817643432
513	0.2817055927
514	0.2815300688
515	0.2812127379
516	0.2811157355
517	0.2810219881
518	0.2808122776
519	0.2804794101
520	0.2802337874
521	0.2800137956
522	0.2798457926
523	0.2795009171
524	0.2792134088
525	0.2789277396
526	0.2787092459
527	0.2785170828
528	0.2782430803
529	0.2780792012
530	0.2778468042
531	0.2776213635
532	0.2775225177
533	0.2772761074
534	0.277052564
535	0.2768687675
536	0.2767198472
537	0.276363522
538	0.2761838882
539	0.2760329324
540	0.275881367
541	0.2756554487
542	0.2753469419
543	0.2751436966
544	0.2749836382
545	0.2748715336
546	0.274815572
547	0.2746396214
548	0.2742750891
549	0.2740221536
550	0.2737643333
551	0.2735569969
552	0.2732472953
553	0.2730396774
554	0.2726986051
555	0.2726206966
556	0.2724191703
557	0.2722507022
558	0.2718974458
559	0.2717007373
560	0.2714048975
561	0.2712417828
562	0.2709507157
563	0.2707627879
564	0.2705254809
565	0.2703786257
566	0.2702270309
567	0.2699563969
568	0.2697148718
569	0.269510091
570	0.2693225997
571	0.2692401134
572	0.2690312396
573	0.2688282982
574	0.2685991153
575	0.2684518596
576	0.2681852006
577	0.2679966162
578	0.2678213596
579	0.2675508184
580	0.2672992232
581	0.2671163373
582	0.2669238988
