iter	RMSE
0	425.7900818
1	404.872352
2	387.4057666
3	372.2801584
4	358.9204229
5	347.0083933
6	336.0130818
7	324.39233
8	314.8690957
9	308.5075563
10	298.8587285
11	294.7655438
12	288.0697862
13	282.6697154
14	277.6121667
15	273.4383979
16	269.1556201
17	264.8098704
18	261.6700768
19	257.396129
20	252.2691509
21	249.0686482
22	244.1881041
23	242.1696687
24	239.2131476
25	236.6883901
26	234.5295613
27	231.7788834
28	228.802033
29	226.8420565
30	224.0686558
31	222.6644699
32	221.6889573
33	220.5171653
34	217.7686033
35	214.8462789
36	214.4799251
37	212.3480429
38	210.0040644
39	208.3086913
40	207.5469119
41	205.9351113
42	205.3580824
43	204.6204266
44	202.502322
45	201.4347853
46	200.8752553
47	200.4047344
48	197.5433004
49	194.6943292
50	194.3011982
51	193.4011843
52	193.0109753
53	192.6071142
54	191.9666153
55	191.5789727
56	190.7186284
57	190.4543087
58	190.1336317
59	188.2286484
60	187.7652417
61	187.422795
62	186.9289182
63	185.2993487
64	185.0349598
65	183.977343
66	183.4463166
67	181.662774
68	179.8785055
69	179.6737527
70	177.0830981
71	176.591779
72	176.1240502
73	174.4828953
74	173.4220482
75	171.9903405
76	171.5803116
77	170.1411594
78	167.9868133
79	166.5304475
80	166.1741622
81	165.8411762
82	165.1041583
83	163.5641543
84	163.2003311
85	161.1781702
86	160.8727658
87	159.7954077
88	158.8759132
89	158.4831323
90	157.4808127
91	157.170323
92	155.3184755
93	154.3988879
94	153.4591935
95	153.1206893
96	152.7897351
97	150.9293164
98	149.7127171
99	149.5089324
100	149.3156312
101	147.7226718
102	146.7692282
103	145.9084983
104	144.8780979
105	143.8090268
106	143.1272551
107	142.4863018
108	141.4861279
109	140.868953
110	140.400957
111	140.0344439
112	139.4290096
113	139.2008874
114	138.6000188
115	138.3962706
116	138.1737256
117	137.6342361
118	136.7119826
119	135.3057402
120	134.4797815
121	133.0774331
122	131.8739238
123	131.3203837
124	130.8294604
125	130.6107905
126	130.1614924
127	129.3166972
128	129.1038672
129	128.9594874
130	128.1849638
131	128.0307033
132	127.3373882
133	126.2856989
134	126.1379832
135	126.0180019
136	125.8843963
137	125.7576333
138	125.4794581
139	124.792027
140	124.6530278
141	123.453901
142	122.8980001
143	122.0911177
144	121.1209154
145	120.1613553
146	119.1894727
147	118.0325732
148	117.913824
149	117.3831462
150	116.8475244
151	116.3821954
152	115.5293176
153	115.0975175
154	114.0649594
155	113.2562326
156	112.7557871
157	112.5657565
158	112.3541525
159	111.8527982
160	111.1619644
161	110.3588257
162	109.6664293
163	109.5577303
164	109.0570285
165	108.7601467
166	108.044862
167	107.5593372
168	106.3862999
169	106.2180807
170	106.0695603
171	105.6940213
172	104.7598987
173	104.6589992
174	103.7203657
175	103.2660987
176	103.0926213
177	102.6925209
178	102.1655154
179	101.8273108
180	101.7264515
181	101.1102333
182	100.7880364
183	100.6673014
184	100.0153055
185	99.76672814
186	99.18605934
187	99.0408133
188	98.90307179
189	97.45138598
190	97.33229591
191	97.19508477
192	96.67895325
193	96.55061788
194	95.66350391
195	94.88507767
196	94.16245889
197	93.82206621
198	93.7300351
199	93.33395219
200	93.21878986
201	93.12298931
202	92.36526091
203	91.97836455
204	91.90013153
205	91.38534853
206	91.07397995
207	90.73977692
208	90.65592983
209	90.17434191
210	89.5990722
211	89.26698877
212	88.76592765
213	88.47700951
214	88.3764741
215	88.0525649
216	87.97618456
217	87.60427296
218	86.95146197
219	86.89674045
220	86.24389414
221	85.5834415
222	85.03003338
223	84.45189443
224	84.1336997
225	83.33638837
226	83.0804458
227	82.82334715
228	82.53376441
229	81.81423437
230	81.50045644
231	81.27980232
232	80.76115523
233	80.38861151
234	80.12993391
235	79.84919667
236	79.56157438
237	79.31175769
238	79.10867115
239	78.82986804
240	78.43535782
241	77.85645268
242	77.38531909
243	76.95034125
244	76.87915841
245	76.80912416
246	76.32597548
247	76.25760745
248	75.61977144
249	75.11082674
250	74.89512848
251	74.18813605
252	73.7075979
253	73.65790773
254	73.18657373
255	72.97027954
256	72.91550464
257	72.61185997
258	72.55776568
